title,price,url
BRAND NEW | SPACIOUS  | FLEXIBLE CHEQUES,"112,000",https://www.bayut.com/property/details-11858524.html
LARGE 1 BEDROOM | READY  | CLOSE TO BEACH | PET FRIENDLY,"135,000",https://www.bayut.com/property/details-11709615.html
Brand New 2 B/R with Balcony & Store | Pool & Gym,"90,000",https://www.bayut.com/property/details-10595194.html
Hot Offer | Big Layout | Ready To Move,"67,999",https://www.bayut.com/property/details-11869268.html
Single Row | Park View | 3BHK Unfurnished,"95,000",https://www.bayut.com/property/details-11881931.html
Fully Furnished I  Breathaking Downtown View I Accessible Location,"84,999",https://www.bayut.com/property/details-11791546.html
Brand New | Fully Furnished | Ready to move,"130,000",https://www.bayut.com/property/details-11667126.html
Study Room | High Floor | Downtown View,"95,000",https://www.bayut.com/property/details-11586789.html
Fully Furnished l Calm Community l 4-Cheques,"109,999",https://www.bayut.com/property/details-11432423.html
Brand New - Fully Furnished - Vacant,"85,000",https://www.bayut.com/property/details-11631910.html
Brand new | 12 cheques | Terrace,"65,000",https://www.bayut.com/property/details-11893726.html
Pool View | Fully Furnished | Brand New,"72,000",https://www.bayut.com/property/details-11152492.html
2 BR with Balcony  | Pool & Gym | Al Mamzar,"69,000",https://www.bayut.com/property/details-7066675.html
Furnished | 2/3 Cheques | Great Layout l Vacant,"114,999",https://www.bayut.com/property/details-11830961.html
Fully Furnished | Prime Location | 2-Cheques,"74,999",https://www.bayut.com/property/details-11692467.html
Spacious 3-BR Villa | Gated Community | Family-Friendly Hom,"215,000",https://www.bayut.com/property/details-11961946.html
Single Row || Park facing || Ready to Move,"173,000",https://www.bayut.com/property/details-11469630.html
Modern Townhouse | Corner Unit | Garden,"250,000",https://www.bayut.com/property/details-11627004.html
Premium And Spacious One Bedroom Apartment !! Burj Khalifa view !!,"95,000",https://www.bayut.com/property/details-10105032.html
Ready to Move ○ Green Lush Community ○ Elegant Spacious 2Bedrooms Appartment ○ Vacant,"110,000",https://www.bayut.com/property/details-11926157.html
Brand New 1BR Duplex | Pool View | Amazing Location,"115,000",https://www.bayut.com/property/details-11067935.html
Chiller Free | Close to Metro | Prime Location | Kitchen Appliances,"114,990",https://www.bayut.com/property/details-9120657.html
Fully Furnished | 8 Cheques | Near To JSS School,"65,999",https://www.bayut.com/property/details-11293283.html
Brand New | Chiller Free | 12 Cheques | Premium Quality,"105,000",https://www.bayut.com/property/details-11409128.html
